data/id,data/dblId,data/relatedDbl,data/name,data/nameLocal,data/abbreviation,data/abbreviationLocal,data/description,data/descriptionLocal,data/language/id,data/language/name,data/language/nameLocal,data/language/script,data/language/scriptDirection,data/countries/0/id,data/countries/0/name,data/countries/0/nameLocal,data/type,data/updatedAt,data/countries/1/id,data/countries/1/name,data/countries/1/nameLocal,data/countries/2/id,data/countries/2/name,data/countries/2/nameLocal,data/countries/3/id,data/countries/3/name,data/countries/3/nameLocal,data/countries/4/id,data/countries/4/name,data/countries/4/nameLocal,data/countries/5/id,data/countries/5/name,data/countries/5/nameLocal,data/audioBibles/0/id,data/audioBibles/0/name,data/audioBibles/0/nameLocal,data/audioBibles/0/dblId,data/countries/6/id,data/countries/6/name,data/countries/6/nameLocal,data/countries/7/id,data/countries/7/name,data/countries/7/nameLocal,data/countries/8/id,data/countries/8/name,data/countries/8/nameLocal,data/countries/9/id,data/countries/9/name,data/countries/9/nameLocal,data/countries/10/id,data/countries/10/name,data/countries/10/nameLocal,data/countries/11/id,data/countries/11/name,data/countries/11/nameLocal,data/countries/12/id,data/countries/12/name,data/countries/12/nameLocal,data/countries/13/id,data/countries/13/name,data/countries/13/nameLocal,data/countries/14/id,data/countries/14/name,data/countries/14/nameLocal
0c2ff0a5c8b9069c-01,0c2ff0a5c8b9069c,,Nend Portions - Mark,MAK Yakŋ Ohɨrand Ya Imbɨr Makɨv Mpamar,NendNP03,NendNP03,,Mark in Nend,anh,Nend,Nend,Latin,LTR,PG,Papua New Guinea,Papua New Guinea,text,2020-09-11T14:48:48.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7ad344da9c39262-01,b7ad344da9c39262,,Arapaho Luke,Hethadenee waunauyaunee vadan Luke Vanenāna,arp,arp,common,common,arp,Arapaho,Arapaho,Latin,LTR,US,United States,United States,text,2020-09-15T05:31:49.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d199679f805f5b29-01,d199679f805f5b29,,Indian Revised Version (IRV) Assamese - 2019,ইণ্ডিয়ান ৰিভাইচ ভাৰচন (IRV) আচামিচ - 2019,IRVAsm,IRVAsm,Indian Revised Version Holy Bible in the Assameese language of India,Indian Revised Version Holy Bible in the Assameese language of India,asm,Assamese,অসমীয়া,Bengali,LTR,IN,India,India,text,2020-07-29T00:34:59.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17c44f6c89de00db-01,17c44f6c89de00db,,Belarusian New Testament and Books of Old Testament,Новы Запавет і Кнігі Старога Запавету,NTPrv,НЗПрп,Belarusian New Testament and Books of Old Testament,Новы Запавет і Кнігі Старога Запавету,bel,Belarusan,беларуская,Cyrillic,LTR,BY,Belarus,Belarus,text,2021-02-08T21:08:27.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b52bc8b7af3bdc6f-03,b52bc8b7af3bdc6f,,Bible (V. Semukha translation),Біблія (пераклад В. Сёмухі),BBL,ББЛ,Synodal,Сінадальны,bel,Belarusian,беларуская,Cyrillic,LTR,BY,Belarus,Belarus,text,2020-09-15T05:29:51.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c3eda00cd317568-01,4c3eda00cd317568,,Indian Revised Version (IRV) Bengali,ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী,IRVBen,IRVBen,Protestant,Protestant,ben,Bengali,বাংলা,Bengali,LTR,IN,India,India,text,2020-09-11T19:22:40.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55bab459b716348c-01,55bab459b716348c,,Bedamuni Bible,GODE EA SIA: IDA:IWANE GALA,beo,BEO,common,common,beo,Beami,Beami,Latin,LTR,PG,Papua New Guinea,Papua New Guinea,text,2020-09-11T20:01:31.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6855dabfcb711cc2-01,6855dabfcb711cc2,,Blackfoot Matthew,ŎKHS' I TSĬN IK SĬN NI ST. MATTHEW OT SĬN AI PI.,bla1890,bla1890,common,common,bla,Siksika,Siksika,Latin,LTR,CA,Canada,Canada,text,2020-09-11T20:58:19.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71d2075d284c4eae-01,71d2075d284c4eae,,God's Holy Book,Kitabu ka Kanu,Baga,KKK,"The Law books, Psalms, the Gospel and the Letters of the Apostles","Tawureta, Yabura, Iŋyila, kɔ reka ya asɔm a Yesu",bsp,Baga Sitemu,Baga Sitemu,Latin,LTR,GN,Guinea,Guinea,text,2020-09-11T21:26:40.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c61908161b077c4c-01,c61908161b077c4c,,Czech Kralická Bible 1613,Bible Kralická 1613,ces1613,BKR,common,společný,ces,Czech,Čeština,Latin,LTR,CZ,Czech Republic,Czech Republic,text,2020-09-12T00:19:28.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dca01eb41e39d25d-02,dca01eb41e39d25d,,Kwere Bible,Biblia Ching'hwele,Kwere,Kwere,NT & Pentateuch,NT & Pentateuch,cwe,Kwere,Kwere,Latin,LTR,TZ,"Tanzania, United Republic of","Tanzania, United Republic of",text,2020-07-29T01:17:23.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dca01eb41e39d25d-01,dca01eb41e39d25d,,The New Testament in Kwere,Lagano da Sambi kwa Wanhu Wose,Kwere,Kwere,New Testament,Kwere,cwe,Kwere,Kwere,Latin,LTR,TZ,"Tanzania, United Republic of","Tanzania, United Republic of",text,2020-07-29T01:17:10.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95410db44ef800c1-01,95410db44ef800c1,,German Unrevised Elberfelder Bible,Darby Unrevidierte Elberfelder,deuelo,ELO,Protestant,evangelisch,deu,"German, Standard",Deutsch,Latin,LTR,DE,Germany,Germany,text,2021-01-20T09:10:28.000Z,AT,Austria,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542b32484b6e38c2-01,542b32484b6e38c2,,"The Holy Bible in German, translation by Kautzsch und Weizsäcker 1906",Textbibel von Kautzsch und Weizsäcker,deutkw,TKW,common,verbreitet,deu,German,Deutsch,Latin,LTR,DE,Germany,Germany,text,2020-09-11T19:50:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e578524a0893c6b7-01,e578524a0893c6b7,,Dawro New Testament,Dawro New Testament,DWNT,DWNT,New Testament,New Testament,dwr,Dawro,Dawro,Latin,LTR,ET,Ethiopia,Ethiopia,text,2020-07-29T02:05:27.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685d1470fe4d5c3b-01,685d1470fe4d5c3b,,American Standard Version (Byzantine Text with Apocrypha),American Standard Version Byzantine Text with Apocrypha,ASVBT,ASVBT,,,eng,English,English,Latin,LTR,US,United States of America,United States of America,text,2021-02-09T21:10:31.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bab4d6c61b31b80-01,6bab4d6c61b31b80,,Brenton English Septuagint (Updated Spelling and Formatting),Brenton English Septuagint (Updated Spelling and Formatting),engLXXup,LXXup,common,common,eng,English,English,Latin,LTR,ZZ,Unspecific,Unspecific,text,2020-07-28T15:54:25.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65bfdebd704a8324-01,65bfdebd704a8324,,Brenton English translation of the Septuagint,Brenton English translation of the Septuagint,engbrent,Brenton,Septuagint,Septuagint,eng,English,English,Latin,LTR,GB,United Kingdom,United Kingdom,text,2020-09-11T20:50:20.000Z,US,United States,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55212e3cf5d04d49-01,55212e3cf5d04d49,,Cambridge Paragraph Bible of the KJV,Cambridge Paragraph Bible of the KJV,engKJVCPB,KJVCPB,Common,Common,eng,English,English,Latin,LTR,US,United States,United States,text,2020-09-09T21:52:35.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179568874c45066f-01,179568874c45066f,,Douay-Rheims American 1899,Douay-Rheims American 1899,engDRA,DRA,"The Holy Bible in English, Douay-Rheims American Edition of 1899, translated from the Latin Vulgate",Catholic,eng,English,English,Latin,LTR,US,United States,United States,text,2020-10-12T20:18:43.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55ec700d9e0d77ea-01,55ec700d9e0d77ea,,English Majority Text Version,English Majority Text Version,engEMTV,EMTV,common,common,eng,English,English,Latin,LTR,US,United States,United States,text,2020-09-11T20:03:01.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65eec8e0b60e656b-01,65eec8e0b60e656b,,Free Bible Version,Free Bible Version,FBV,FBV,Protestant FBV full 3.0 beta,Protestant FBV full 3.0 beta,eng,English,English,Latin,LTR,US,United States,United States,text,2021-01-22T09:10:23.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c315fa9f71d4af3a-01,c315fa9f71d4af3a,,Geneva Bible,Geneva Bible,enggnv,GNV,common,common,eng,English,English,Latin,LTR,GB,United Kingdom,United Kingdom,text,2020-09-15T05:45:48.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf8f1c7f3f9045a5-01,bf8f1c7f3f9045a5,,JPS TaNaKH 1917,JPS TaNaKH 1917,engojps,OJPS,Jewish,Jewish,eng,English,English,Latin,LTR,US,United States,United States,text,2020-07-28T23:12:45.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de4e12af7f28f599-01,de4e12af7f28f599,,King James (Authorised) Version,King James Version,engKJV,KJV,Ecumenical,Ecumenical,eng,English,English,Latin,LTR,GB,United Kingdom,United Kingdom,text,2020-11-12T21:16:24.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de4e12af7f28f599-02,de4e12af7f28f599,,King James (Authorised) Version,King James Version,engKJV,KJV,Protestant,Protestant,eng,English,English,Latin,LTR,GB,United Kingdom,United Kingdom,text,2020-11-12T21:16:55.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
