h,0001,אָב,Noun Masculine,ab,(awb),father,"chief, principal ","A primitive word; father, in a literal and immediate, or figurative and remote application) -- chief, (fore-)father(-less), X patrimony, principal. Compare names in \""Abi-\"". "
h,0002,אַב,Noun Masculine,ab,(ab),father,father ,(Aramaic) corresponding to (H1) 'ab -- father. see HEBREW (H1) 'ab
h,0003,אֵב,Noun Masculine,eb,(abe),"freshness, fresh green","greenness, fruit ","From the same as (H24) 'abiyb; a green plant -- greenness, fruit. see HEBREW (H24) 'abiyb "
h,0004,אֵב,Noun Masculine,eb,(abe),fruit,fruit ,(Aramaic) corresponding to (H3) 'eb -- fruit. see HEBREW (H3) 'eb
h,0005,אֲבִַגְתָא,Proper Name Masculine,Abagtha,(ab-ag-thaw'),a eunuch of Ahasuerus,Abagtha ,"Of foreign origin; Abagtha, a eunuch of Xerxes -- Abagtha. "
h,0006,אָבַד,Verb,abad,(aw-bad'),to perish,"break, destroy uction, not escape, fail, lose, cause to, make perish, spend, ","A primitive root; properly, to wander away, i.e. Lose oneself; by implication to perish (causative, destroy) -- break, destroy(- uction), + not escape, fail, lose, (cause to, make) perish, spend, X and surely, take, be undone, X utterly, be void of, have no way to flee. "
h,0007,אֲבַד,Verb,abad,(ab-ad'),to perish,"destroy, perish ","(Aramaic) corresponding to (H6) 'abad -- destroy, perish. see HEBREW (H6) 'abad "
h,0008,אֹבֵד,Noun Masculine,obed,(o-bade'),destruction,perish ,Active of participle of (H6) 'abad; (concrete) wretched or (abstract) destructin -- perish. see HEBREW (H6) 'abad
h,0009,אֲבֵדָה,Noun Feminine,abedah,(ab-ay-daw'),a lost thing,lost ,"From (H6) 'abad; concrete, something lost; abstract, destruction, i.e. Hades -- lost. Compare (H10) 'abaddoh. see HEBREW (H6) 'abad see HEBREW (H10) 'abaddoh "
h,0010,אֲבַדֹּה,Noun Feminine,abaddoh,(ab-ad-do'),destruction ,destruction ,"The same as (H9) 'abedah, miswritten for (H11) 'abaddown; a perishing -- destruction. see HEBREW (H9) 'abedah see HEBREW (H11) 'abaddown "
h,0011,אֲבַדּוֹן,Proper Name Location,abaddon,(ab-ad-done'),"(place of) destruction or ruin, Abaddon",destruction ,"Intensive from (H6) 'abad; abstract, a perishing; concrete, Hades -- destruction. see HEBREW (H6) 'abad "
