g3326,μετά,Preposition,meta,(met-ah'),"with, among, after","afterward, among, hereafter","A primary preposition (often used adverbially); properly, denoting accompaniment; ""amid"" (local or causal); modified variously according to the case (genitive association, or accusative succession) with which it is joined; occupying an intermediate position between  (G575) apo or  (G1537) ek and  (G1519) eis or  (G4314) pros; less intimate than  (G1722) en and less close than  (G4862) sun) -- after(-ward), X that he again, against, among, X and, + follow, hence, hereafter, in, of, (up-)on, + our, X and setting, since, (un-)to, + together, when, with (+ -out). Often used in composition, in substantially the same relations of participation or proximity, and transfer or sequence. <p>see GREEK  (G4314) pros <p>see GREEK  (G575) apo <p>see GREEK  (G1537) ek <p>see GREEK  (G1519) eis <p>see GREEK  (G1722) en <p>see GREEK  (G4862) sun "
g3327,μεταβαίνω,Verb,metabainó,(met-ab-ah'-ee-no),"to pass over, withdraw, depart","depart, go, pass, remove. ","From  (G3326) meta and the base of  (G939) basis; to change place -- depart, go, pass, remove. <p>see GREEK  (G3326) meta <p>see GREEK  (G939) basis "
g3328,μεταβάλλω,Verb,metaballó,(met-ab-al'-lo),"to turn about, to change",change mind. ,"From  (G3326) meta and  (G906) ballo; to throw over, i.e. (middle voice figuratively) to turn about in opinion -- change mind. <p>see GREEK  (G3326) meta <p>see GREEK  (G906) ballo "
g3329,μετάγω,Verb,metagó,(met-ag'-o),"to turn about, to direct","to guide, direct","From  (G3326) meta and  (G718) harmozo; to lead over, i.e. Transfer (direct) -- turn about. <p>see GREEK  (G3326) meta <p>see GREEK  (G718) harmozo "
g3330,μεταδίδωμι,Verb,metadidómi,(met-ad-id'-o-mee),to give a share of,to give a share of,"From  (G3326) meta and  (G1325) didomi; to give over, i.e. Share -- give, impart. <p>see GREEK  (G3326) meta <p>see GREEK  (G1325) didomi "
g3331,"μετάθεσις, εως, ἡ","Noun, Feminine",metathesis,(met-ath'-es-is),"a change, removal","change, removing, translation. ","From  (G3346) metatithemi; transposition, i.e. Transferral (to heaven), disestablishment (of a law) -- change, removing, translation. <p>see GREEK  (G3346) metatithemi "
g3332,μεταίρω,Verb,metairó,(met-ah'-ee-ro),"to remove, depart",depart. ,"From  (G3326) meta and  (G142) airo; to betake oneself, i.e. Remove (locally) -- depart. <p>see GREEK  (G3326) meta <p>see GREEK  (G142) airo "
g3333,μετακαλέω,Verb,metakaleó,(met-ak-al-eh'-o),to call from one place to another,"to invite, summon, call","From  (G3326) meta and  (G2564) kaleo; to call elsewhere, i.e. Summon -- call (for, hither). <p>see GREEK  (G3326) meta <p>see GREEK  (G2564) kaleo "
g3334,μετακινέω,Verb,metakineó,(met-ak-ee-neh'-o),"to move away, remove",move away. ,"From  (G3326) meta and  (G2795) kineo; to stir to a place elsewhere, i.e. Remove (figuratively) -- move away. <p>see GREEK  (G3326) meta <p>see GREEK  (G2795) kineo "
g3335,μεταλαμβάνω,Verb,metalambanó,(met-al-am-ban'-o),to partake of,"to partake of, share","From  (G3326) meta and  (G2983) lambano; to participate; genitive case, to accept (and use) -- eat, have, be partaker, receive, take. <p>see GREEK  (G3326) meta <p>see GREEK  (G2983) lambano "
g3336,"μετάληψις, εως, ἡ","Noun, Feminine",metalémpsis,(met-al'-ape-sis),"taking, receiving, sharing",sharing,From  (G3335) metalambano; participation -- taking. <p>see GREEK  (G3335) metalambano
